City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,moussoro,13.6408,16.4901,303.8,12,91,6.51,TD,1698648416
177,dalmau,26.0667,81.0333,304.18,30,10,1.18,IN,1698648416
178,nizhnesortymskiy,62.4397,71.7603,264.02,90,73,3.8,RU,1698648416
179,west island,-12.1568,96.8225,301.14,74,100,8.75,CC,1698648416
180,sidi salim,31.271,30.7867,300.4,59,32,5.28,EG,1698648416
181,banda aceh,5.5577,95.3222,302.03,72,97,2.09,ID,1698648417
182,etampes,48.4333,2.15,284.55,94,100,3.06,FR,1698648417
183,san andres,12.5847,-81.7006,298.16,100,20,1.03,CO,1698648417
184,afaahiti,-17.75,-149.2833,298.08,83,50,8.67,PF,1698648417
185,sitia,35.2,26.0986,294.81,78,99,2.51,GR,1698648417
186,saint-denis,48.9167,2.3333,285.1,93,75,2.06,FR,1698648418
187,iskateley,67.6803,53.1512,265.94,93,100,6.26,RU,1698648418
188,harper,4.375,-7.7169,299.03,83,3,1.68,LR,1698648399
189,sokoni,-6.4333,39.55,302.07,82,65,3.72,TZ,1698648418
190,ulan bator,47.9077,106.8832,272.22,86,40,1.0,MN,1698648418
191,cidreira,-30.1811,-50.2056,292.64,92,3,2.12,BR,1698648418
192,george town,5.4112,100.3354,305.12,70,20,3.6,MY,1698648301
193,kavalerovo,44.2661,135.0572,285.23,48,23,1.08,RU,1698648419
194,new norfolk,-42.7826,147.0587,289.87,60,100,4.01,AU,1698648419
195,utrik,11.2278,169.8474,301.27,83,100,9.51,MH,1698648419
196,taro,-8.3862,115.28,301.15,65,98,1.78,ID,1698648419
197,polyarnyy,69.1989,33.4478,267.22,90,100,4.71,RU,1698648419
198,valdovino,43.6094,-8.1115,284.43,85,64,8.47,ES,1698648420
199,wailua homesteads,22.0669,-159.378,297.59,89,100,4.12,US,1698648420
200,flying fish cove,-10.4217,105.6791,301.97,74,75,4.63,CX,1698648420
201,waihee-waiehu,20.9249,-156.5076,298.32,81,20,5.14,US,1698648420
202,nizao,18.25,-70.2,302.3,83,71,1.3,DO,1698648420
203,kingston,17.997,-76.7936,300.68,89,20,2.06,JM,1698648222
204,susuman,62.7833,148.1667,259.81,92,61,0.89,RU,1698648421
205,vorkuta,67.5,64.0,256.03,97,41,1.65,RU,1698648350
206,carnarvon,-24.8667,113.6333,297.04,59,0,10.32,AU,1698648421
207,nuku'alofa,-21.1333,-175.2,297.34,94,20,6.17,TO,1698648421
208,whakatane,-37.9585,176.9854,290.25,95,100,1.34,NZ,1698648421
209,oamaru,-45.0784,170.9801,286.69,75,61,5.85,NZ,1698648421
210,suphan buri,14.4742,100.1222,301.46,80,100,3.48,TH,1698648422
211,lorengau,-2.0226,147.2712,299.2,81,100,1.95,PG,1698648422
212,pouzauges,46.7794,-0.8362,283.53,96,100,2.26,FR,1698648422
213,singkil,-7.9855,111.4161,309.11,35,70,5.13,ID,1698648422
214,strezhevoy,60.7333,77.5889,263.13,83,73,1.79,RU,1698648423
215,kenai,60.5544,-151.2583,278.76,84,100,7.2,US,1698648423
216,broome,42.2506,-75.833,282.53,97,100,3.6,US,1698648423
217,quellon,-43.1167,-73.6167,277.53,89,100,3.51,CL,1698648423
218,acapulco de juarez,16.8634,-99.8901,299.16,87,16,1.31,MX,1698648424
219,ovidiopol,46.25,30.4413,291.59,63,8,6.03,UA,1698648424
220,valdivia,-39.8142,-73.2459,277.2,91,100,1.81,CL,1698648424
221,rongelap,11.1635,166.8941,301.81,80,100,8.97,MH,1698648424
222,puerto lempira,15.2667,-83.7667,297.42,90,100,1.55,HN,1698648425
223,at taj,24.2049,23.2857,296.55,31,0,3.67,LY,1698648425
224,balsas,-7.5325,-46.0356,297.93,43,1,0.66,BR,1698648425
225,saint-pierre,-21.3393,55.4781,302.97,62,0,7.72,RE,1698648426
226,saldanha,-33.0117,17.9442,292.18,36,0,8.32,ZA,1698648215
227,bayanhongor,46.7167,100.1167,276.86,47,55,7.81,MN,1698648426
228,ma'rib,15.4591,45.3253,300.6,39,12,3.18,YE,1698648426
229,puerto baquerizo moreno,-0.9,-89.6,296.19,80,88,5.24,EC,1698648427
230,hadibu,12.65,54.0333,301.12,67,100,4.77,YE,1698648427
231,inari,68.906,27.0288,263.26,94,93,1.62,FI,1698648427
232,matveyev kurgan,47.5645,38.8695,285.96,66,100,2.07,RU,1698648427
233,karratha,-20.7377,116.8463,305.87,39,36,5.5,AU,1698648428
234,ubinskoye,55.3068,79.6802,270.82,70,100,6.78,RU,1698648428
235,arraias,-12.9288,-46.9437,298.65,38,64,1.5,BR,1698648428
236,tambopata,-12.7333,-69.1833,295.95,97,100,1.16,PE,1698648428
237,lata,40.1629,-8.3327,284.3,87,72,1.65,PT,1698648428
238,castillos,-34.1667,-53.8333,288.69,97,77,0.88,UY,1698648429
239,labrador city,52.9463,-66.9114,268.1,86,75,2.06,CA,1698648429
240,weno,7.4515,151.8468,301.96,77,53,5.27,FM,1698648362
241,isangel,-19.55,169.2667,294.21,88,40,3.09,VU,1698648429
242,dunedin,-45.8742,170.5036,286.37,76,7,2.24,NZ,1698648430
243,anadyr,64.75,177.4833,271.43,92,100,11.0,RU,1698648430
244,queensbury,53.7667,-1.9167,281.58,96,100,4.04,GB,1698648187
245,saint-francois,46.4154,3.9054,285.18,94,0,1.03,FR,1698648430
246,san antonio de pale,-1.4014,5.6325,299.44,86,62,5.87,GQ,1698648430
247,daru,-9.0763,143.2092,298.82,83,100,7.1,PG,1698648431
248,agat village,13.3886,144.6585,304.67,77,40,6.17,GU,1698648431
249,vila velha,-20.3297,-40.2925,298.12,78,20,1.54,BR,1698648431
250,malvan,16.0667,73.4667,303.97,54,96,1.8,IN,1698648431
251,venado tuerto,-33.7456,-61.9688,284.83,69,98,11.99,AR,1698648431
252,shira,54.4911,89.9531,269.03,59,100,1.41,RU,1698648432
253,waddan,29.1614,16.139,294.9,50,60,3.13,LY,1698648432
254,isafjordur,66.0755,-23.124,274.31,81,43,2.11,IS,1698648432
255,coronel suarez,-37.4547,-61.9334,279.84,85,100,3.38,AR,1698648432
256,kayangel,8.0823,134.7173,302.11,72,36,3.69,PW,1698648433
257,mulayjah,27.271,48.4242,301.25,41,95,1.68,SA,1698648433
258,paramonga,-10.6667,-77.8333,291.99,92,88,4.03,PE,1698648352
259,letterkenny,54.95,-7.7333,283.09,87,100,6.5,IE,1698648161
260,novyy urengoy,66.0833,76.6333,261.48,80,8,0.86,RU,1698648434
261,fortaleza,-3.7227,-38.5247,302.08,73,40,7.2,BR,1698648434
262,haimen,23.1935,116.6142,302.09,66,28,5.53,CN,1698648434
263,benito juarez,19.385,-99.165,290.05,55,0,4.12,MX,1698648434
264,sanctuary point,-35.1114,150.629,304.93,35,99,2.51,AU,1698648435
265,yarmouth,41.7057,-70.2286,284.27,95,100,5.14,US,1698648435
266,honcho,35.6931,139.9833,296.48,46,20,2.57,JP,1698648435
267,hovd,48.0056,91.6419,279.74,46,26,1.99,MN,1698648436
268,pont rouge,48.8833,-72.0825,272.31,54,100,2.77,CA,1698648203
269,belmonte,-15.8631,-38.8828,296.05,79,100,3.14,BR,1698648436
270,tobelo,1.7284,128.0095,302.46,65,52,2.7,ID,1698648436
271,walvis bay,-22.9575,14.5053,290.29,72,5,2.19,NA,1698648166
272,puerto san jose,13.9256,-90.8244,297.88,90,100,5.16,GT,1698648437
273,yazd,31.8972,54.3675,298.21,20,0,1.03,IR,1698648437
274,alibag,18.6411,72.8792,306.19,40,7,0.31,IN,1698648437
275,mikhaylovka,50.06,43.2379,279.14,66,78,4.38,RU,1698648437
276,san antonio,29.4241,-98.4936,280.44,89,100,8.23,US,1698648347
